unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location
65879766,2025-08-18 01:50:33,,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,Other (Explain Below),10452.0,957 WOODYCREST AVENUE,WOODYCREST AVENUE,WEST  162 STREET,WEST  163 STREET,WEST  162 STREET,WEST  163 STREET,ADDRESS,BRONX,WOODYCREST AVENUE,,In Progress,,,,04 BRONX,2025110068.0,BRONX,1003936.0,242233.0,PHONE,Unspecified,BRONX,,,,,,,,40.8315271048226,-73.92886303221528,"
,  
(40.8315271048226, -73.92886303221528)"
65880876,2025-08-18 01:49:57,,DSNY,Department of Sanitation,Dirty Condition,Trash,Sidewalk,11220.0,6817 5 AVENUE,5 AVENUE,68 STREET,BAY RIDGE AVENUE,68 STREET,BAY RIDGE AVENUE,ADDRESS,BROOKLYN,5 AVENUE,,In Progress,,,,10 BROOKLYN,3058650003.0,BROOKLYN,978480.0,170254.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.63398258997328,-74.02078864252378,"
,  
(40.63398258997328, -74.02078864252378)"
65877966,2025-08-18 01:49:24,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11205.0,AUBURN PLACE,AUBURN PLACE,AUBURN PLACE,ST EDWARD STREET,AUBURN PLACE,ST EDWARD STREET,INTERSECTION,,,,In Progress,,,2025-08-18T02:19:21.000,02 BROOKLYN,,BROOKLYN,990355.0,192214.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.69425769499548,-73.97798450650289,"
,  
(40.69425769499548, -73.97798450650289)"
65875271,2025-08-18 01:49:12,,DHS,Department of Homeless Services,Homeless Person Assistance,Non-Chronic,Subway,,,,,,,,ADDRESS,,,,Assigned,,The Department of Homeless Services has sent a mobile outreach response team to the location.,2025-08-18T01:59:33.000,Unspecified BROOKLYN,,BROOKLYN,977761.0,170612.0,MOBILE,Unspecified,BROOKLYN,,,,R,,,Mezzanine,40.63496472637004,-74.02337946048613,"
,  
(40.634964726370036, -74.02337946048613)"
65880791,2025-08-18 01:48:55,,NYPD,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11233.0,490 MACON STREET,MACON STREET,STUYVESANT AVENUE,MALCOLM X BOULEVARD,STUYVESANT AVENUE,MALCOLM X BOULEVARD,ADDRESS,BROOKLYN,MACON STREET,,In Progress,,,2025-08-18T02:30:39.000,03 BROOKLYN,3016710015.0,BROOKLYN,1003350.0,188193.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.68320247217812,-73.93113411084386,"
,  
(40.68320247217812, -73.93113411084386)"
65877022,2025-08-18 01:48:11,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10463.0,3355 FT INDEPENDENCE STREET,FT INDEPENDENCE STREET,HEATH AVENUE,BAILEY PLACE,HEATH AVENUE,BAILEY PLACE,ADDRESS,BRONX,FORT INDEPENDENCE STREET,,In Progress,,,,08 BRONX,2032610102.0,BRONX,1012030.0,259708.0,MOBILE,Unspecified,BRONX,,,,,,,,40.87946898046384,-73.89954230627598,"
,  
(40.879468980463834, -73.89954230627598)"
65875181,2025-08-18 01:47:59,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10469.0,2566 KINGSLAND AVENUE,KINGSLAND AVENUE,MACE AVENUE,ALLERTON AVENUE,MACE AVENUE,ALLERTON AVENUE,ADDRESS,BRONX,KINGSLAND AVENUE,,In Progress,,,2025-08-18T02:31:21.000,11 BRONX,2044880036.0,BRONX,1028810.0,253959.0,PHONE,Unspecified,BRONX,,,,,,,,40.86362099412118,-73.83890102170845,"
,  
(40.86362099412118, -73.83890102170845)"
65877046,2025-08-18 01:46:55,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,10468.0,2472 GRAND AVENUE,GRAND AVENUE,WEST FORDHAM ROAD,WEST  188 STREET,WEST FORDHAM ROAD,WEST  188 STREET,ADDRESS,BRONX,GRAND AVENUE,,In Progress,,,2025-08-18T02:50:11.000,07 BRONX,2032030012.0,BRONX,1011182.0,253938.0,MOBILE,Unspecified,BRONX,,,,,,,,40.8636347364388,-73.90263202361797,"
,  
(40.8636347364388, -73.90263202361797)"
65881668,2025-08-18 01:46:52,,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,Street/Sidewalk,11236.0,5995 SHORE PARKWAY,SHORE PARKWAY,BELT PARKWAY EXIT   13 WESTBOUND,EAST  102 STREET,BELT PARKWAY EXIT   13 WESTBOUND,EAST  102 STREET,ADDRESS,BROOKLYN,SHORE PARKWAY,,In Progress,,,2025-08-18T02:23:54.000,18 BROOKLYN,3083290225.0,BROOKLYN,1016602.0,169895.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.63294001121356,-73.88344127417054,"
,  
(40.63294001121356, -73.88344127417054)"
65877020,2025-08-18 01:46:43,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11210.0,3111 AURELIA COURT,AURELIA COURT,EAST   31 STREET,EAST   32 STREET,EAST   31 STREET,EAST   32 STREET,ADDRESS,BROOKLYN,AURELIA COURT,,In Progress,,,2025-08-18T02:16:29.000,14 BROOKLYN,3075770025.0,BROOKLYN,999282.0,168813.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.63001647523674,-73.94584465849762,"
,  
(40.630016475236744, -73.94584465849762)"
