complaint_type,borough,agency,incident_zip,target
47,1,10,118,1
35,2,4,28,0
99,2,5,32,1
67,1,10,110,1
47,1,10,126,1
54,2,1,2,1
2,3,10,161,1
66,2,10,1,1
94,1,5,123,1
69,2,10,16,1
42,1,9,95,1
71,1,7,126,1
91,4,5,51,1
47,0,10,76,1
9,3,10,133,1
23,1,7,124,1
66,3,10,132,1
66,0,10,76,1
109,1,1,99,1
8,2,10,2,1
83,0,9,76,1
9,3,10,147,1
66,3,10,168,1
9,3,10,144,1
62,2,10,23,1
66,0,10,65,1
66,1,10,99,1
75,0,9,76,1
62,1,10,103,1
61,2,1,31,1
67,1,10,102,1
47,1,10,109,1
42,2,9,10,1
58,1,7,94,1
109,1,1,118,0
9,1,10,130,1
75,1,9,104,1
47,1,10,129,1
66,3,10,92,1
46,3,10,157,1
2,3,10,153,1
42,2,9,23,1
47,3,10,163,1
42,2,9,7,1
66,3,10,175,1
2,4,10,59,1
66,3,10,147,1
24,1,10,123,1
62,0,10,66,1
75,0,9,76,1
47,1,10,130,1
66,1,10,121,1
67,3,10,87,1
66,3,10,177,1
47,3,10,85,1
66,3,10,133,1
62,1,10,118,1
66,1,10,120,1
42,3,9,88,1
66,0,10,77,1
61,3,1,176,1
62,3,10,161,1
33,2,2,2,1
9,3,10,144,1
23,1,7,127,1
60,1,6,118,0
42,3,9,154,1
66,4,10,59,1
2,1,10,111,1
66,3,10,160,1
47,1,10,115,1
5,1,10,128,1
67,2,10,31,1
68,1,10,118,1
103,2,4,22,1
75,0,9,67,0
66,1,10,104,1
62,2,10,26,1
62,3,10,91,1
67,1,10,108,1
47,0,10,71,1
42,0,9,69,1
3,2,1,5,1
45,1,7,100,1
54,3,1,134,1
58,3,7,132,1
9,3,10,132,1
47,1,10,99,1
47,1,10,128,1
76,3,10,89,1
42,1,9,104,1
42,0,9,67,1
66,3,10,148,1
9,3,10,151,1
66,0,10,62,1
54,1,1,107,1
9,3,10,134,1
17,1,9,105,0
42,3,9,181,1
66,1,10,95,1
42,0,9,67,1
42,0,9,60,1
60,1,6,115,0
66,3,10,180,1
62,3,10,148,1
29,2,9,28,0
66,3,10,154,1
42,0,9,62,1
9,3,10,146,1
37,0,11,64,0
109,2,1,31,1
66,2,10,1,1
66,3,10,87,1
90,2,5,1,1
80,1,7,100,1
9,3,10,151,1
58,2,7,32,0
101,0,9,76,1
47,3,10,155,1
47,1,10,130,1
47,2,10,14,1
22,3,7,157,1
47,1,10,114,1
66,2,10,26,1
47,3,10,134,1
47,0,10,81,1
101,2,9,30,1
9,3,10,144,1
66,0,10,77,1
57,2,6,30,1
40,1,7,96,0
66,4,10,53,1
62,1,10,95,1
9,3,10,164,1
99,1,5,104,1
90,4,5,58,1
42,0,9,61,1
47,3,10,158,1
9,0,10,62,1
62,0,10,83,1
47,3,10,152,1
54,3,1,135,1
66,0,10,72,1
61,2,1,9,1
47,3,10,136,1
9,2,10,24,1
42,0,9,61,1
66,4,10,53,1
42,0,9,71,1
99,2,5,10,1
101,4,9,51,0
74,1,9,95,1
28,1,9,127,1
9,3,10,89,1
17,2,9,31,0
42,3,9,179,1
66,2,10,21,1
47,1,10,119,1
23,3,7,176,1
39,1,3,115,0
38,1,9,127,1
101,1,9,102,0
28,0,9,61,1
30,3,3,177,0
9,3,10,144,1
62,1,10,118,1
42,1,9,96,1
47,1,10,101,1
47,0,10,76,1
66,1,10,97,1
66,1,10,104,1
67,3,10,144,1
12,3,3,167,0
47,3,10,136,1
47,1,10,99,1
67,2,10,30,1
42,0,9,77,1
47,0,10,66,1
63,2,8,20,0
47,3,10,163,1
47,3,10,160,1
47,1,10,121,1
59,2,4,22,0
59,2,4,22,0
81,1,4,97,1
42,1,9,115,1
63,2,8,20,0
28,2,9,36,0
42,2,9,37,1
47,0,10,80,1
47,3,10,91,1
42,0,9,65,1
67,0,10,61,1
66,2,10,1,1
17,1,9,108,1
42,4,9,51,1
81,0,4,76,1
67,1,10,109,1
47,1,10,101,1
54,2,1,18,1
23,1,7,97,1
69,2,10,1,1
9,0,10,77,1
22,0,7,76,1
66,2,10,1,1
99,2,5,43,1
42,0,9,61,1
32,1,3,119,0
66,3,10,151,1
63,2,8,13,0
47,3,10,142,1
8,2,10,2,1
45,1,7,94,1
47,1,10,101,1
47,4,10,53,1
66,3,10,146,1
66,0,10,81,1
47,0,10,70,1
34,0,9,77,1
58,3,7,156,1
107,1,9,99,0
47,3,10,152,1
9,1,10,107,1
42,1,9,117,1
8,2,10,2,1
2,3,10,137,1
66,3,10,152,1
62,2,10,10,1
66,1,10,99,1
5,3,10,134,1
46,1,10,120,1
61,1,1,96,1
42,1,9,124,1
62,3,10,89,1
66,1,10,99,1
2,1,10,112,1
63,2,8,13,0
69,3,10,149,1
66,2,10,29,1
47,3,10,144,1
109,1,1,119,1
46,4,10,49,1
9,3,10,141,1
99,4,5,59,1
47,0,10,72,1
67,2,10,13,1
66,2,10,28,1
86,4,5,55,0
101,3,9,157,1
63,2,8,20,0
47,3,10,142,1
91,3,5,85,1
81,1,4,107,0
42,3,9,89,1
107,3,9,173,0
32,2,3,18,0
62,3,10,148,1
63,2,8,20,0
9,3,10,152,1
47,3,10,154,1
47,1,10,118,1
42,3,9,89,1
47,3,10,152,1
47,3,10,154,1
17,0,9,65,0
47,3,10,151,1
79,2,3,29,1
12,2,3,30,0
47,0,10,78,1
